author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Catherine Pelachaud,10,Sorbonne Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-1008-0799,FR
Andon Tchechmedjiev,10,Institut polytechnique de Paris,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0,FR
Jonathan Ginzburg,10,Université Paris Cité,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-5737-0991,FR
Pierre Magistry,10,Université Paris-Saclay,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0,FR
Annelies Braffort,10,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,https://orcid.org/0000-0003-4595-7714,FR
Alain Joubert,10,Université de Montpellier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0,FR
Abdellah Fourtassi,10,Laboratoire d’Informatique et Systèmes,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-0279-7730,FR
Gabriel Illouz,10,Université Paris-Saclay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0,FR
Olivier Hamon,10,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0,FR
Ioana Vasilescu,10,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0003-3038-4503,FR
Emmanuel Ferragne,10,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,FR
Gilles Puy,10,Valeo (France),0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,FR
Maurizio Filippone,9,Université Côte d'Azur,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,FR
Pierre Gaillard,9,Université Paris-Saclay,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Christophe Gravier,9,Institut polytechnique de Paris,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-8586-6302,FR
Rémi Flamary,9,Institut polytechnique de Paris,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Nicolas Courty,9,University of Southern Brittany,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Alexandre d'Aspremont,9,Université Paris sciences et lettres,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0003-3851-216X,FR
Hussam Hamdan,9,Aix-Marseille University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0,FR
Alain Durmus,9,Institut polytechnique de Paris,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Gabriel Marzinotto,9,Institut polytechnique de Paris,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0,FR
Eric Gaussier,9,Université Grenoble Alpes,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,https://orcid.org/0000-0002-8858-3233,FR
Pascal Amsili,9,Université Paris Cité,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0,FR
Mickael Rouvier,9,Laboratoire Informatique d'Avignon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,https://orcid.org/0000-0003-3541-3385,FR
Georgeta Bordea,9,Bordeaux Population Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0,FR
Raheel Qader,9,Université de Rennes,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,FR
Nathalie Le Brun,9,Institut polytechnique de Paris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,https://orcid.org/0000-0003-0708-2064,FR
Geraldine Damnati,9,Orange (France),0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0,FR
Solen Quiniou,9,Nantes Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0,FR
Amalia Todirascu,9,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0,FR
Sylvain Meignier,9,Le Mans Université,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0,FR
Laure Vieu,9,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0,FR
Ismail El Maarouf,9,Da Volterra (France),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0,FR
Denis Maurel,9,Laboratory of Fundamental and Applied Computer Science of Tours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0,FR
Nicolas Audibert,9,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,https://orcid.org/0000-0003-3648-9322,FR
Hugo Touvron,9,Sorbonne Université,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-1678-392X,FR
Mathieu Constant,9,Strasbourg/Lorraine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,FR
ShiZhe Chen,9,Université Paris sciences et lettres,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-7313-9703,FR
Thomas François,9,Sorbonne Université,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,https://orcid.org/0000-0003-1896-0774,FR
Anant Raj,8,Université Paris sciences et lettres,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,https://orcid.org/0000-0003-0671-1244,FR
Yann Ollivier,8,Institut polytechnique de Paris,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Philip Schulz,8,Institut polytechnique de Paris,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,https://orcid.org/0000-0002-8177-0108,FR
Edouard Pauwels,8,Université de Toulouse,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-8180-075X,FR
Tuan-Hung Vu,8,Université Paris sciences et lettres,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,FR
Gabriel Doyle,8,Sciences Po,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Julien Tourille,8,Université Paris-Saclay,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,https://orcid.org/0000-0003-4486-4364,FR
Liva Ralaivola,8,Université Paris sciences et lettres,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Thomas Gaillat,8,Université de Rennes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0,FR
Yannick Parmentier,8,Servier (France),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0,FR
Emmanuel Schang,8,Laboratoire de Linguistique Formelle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0,FR
Robert Bossy,8,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-6652-9319,FR
Vincent Berment,8,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0,FR
Marcely Zanon Boito,8,Université Grenoble Alpes,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,FR
Marianne Vergez-Couret,8,University of Poitiers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,FR
Julien Pinquier,8,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,https://orcid.org/0000-0003-1556-1284,FR
Jean-Sebastien Franco,8,Université Grenoble Alpes,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Giulio Biroli,8,Université Paris sciences et lettres,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,https://orcid.org/0000-0003-4115-2644,FR
Franck Sajous,8,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0001-9439-3658,FR
Fiammetta Namer,8,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0002-6144-3011,FR
Elisabeth Delais-Roussarie,8,Nantes Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,https://orcid.org/0000-0002-4517-1503,FR
Christophe Savariaux,8,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,FR
Aina Garí Soler,8,Institut polytechnique de Paris,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0,FR
Francois Bremond,8,Université Côte d'Azur,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-2988-2142,FR
Yannick Estève,8,Laboratoire Informatique d'Avignon,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,FR
Alexandre Boulch,8,Université Gustave Eiffel,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Aurélie Névéol,8,Université Paris-Saclay,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,FR
Gábor Bella,8,French National Centre for Scientific Research,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,FR
Joseph Salmon,7,Université de Montpellier,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,FR
Kevin Duarte,7,Strasbourg/Lorraine,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-0292-0498,FR
Stéphane Mallat,7,Université Paris sciences et lettres,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-5263-8960,FR
David Dohan,7,Université Paris Cité,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Herve Jegou,7,Université de Rennes,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Teddy Furon,7,Université de Rennes,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
David Picard,7,Université Gustave Eiffel,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-6296-4222,FR
Arthur Mensch,7,Université Paris Cité,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,https://orcid.org/0000-0003-1007-636X,FR
Olivier Kraif,7,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0,FR
Rémi Bardenet,7,Université de Lille,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,FR
Rémy Degenne,7,Université de Lille,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,FR
Othman Zennaki,7,Grenoble Computer Science Laboratory,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0,FR
Bruno Scherrer,7,Université Grenoble Alpes,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0001-6097-4489,FR
Mathieu Mangeot,7,Nantes Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0,FR
Caio Corro,7,Université Paris-Saclay,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,FR
Philippe Preux,7,Université de Lille,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-2171-2977,FR
Samuel Humeau,7,École Normale Supérieure de Lyon,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Konstantin Mishchenko,7,French Institute for Research in Computer Science and Automation,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,https://orcid.org/0000-0002-5241-7292,FR
Mathieu Dehouck,7,Université de Lille,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,FR
Olga Seminck,7,Université Paris sciences et lettres,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0003-4617-5992,FR
Caroline Pasquer,7,"Bases, Corpus, Langage",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0,FR
Gilbert Badaro,7,EURECOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,FR
Brij Mohan Lal Srivastava,7,Université de Lille,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-7531-7123,FR
Josiane Mothe,7,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,https://orcid.org/0000-0001-9273-2193,FR
Yannick Toussaint,7,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,FR
David Langlois,7,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,FR
Lucie Barque,7,Sorbonne Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0,FR
Albert Rilliard,7,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0001-6490-2386,FR
Muriel Lalain,7,Laboratoire Parole et Langage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0,FR
Marie Tahon,7,Université de Rennes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,FR
Louis Martin,7,Université Gustave Eiffel,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,https://orcid.org/0000-0002-3426-9601,FR
Aymeric Dieuleveut,7,Institut polytechnique de Paris,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Eric Charton,7,Aix-Marseille University,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,https://orcid.org/0000-0003-4647-0895,FR
Sriram Venkatapathy,7,Xerox (France),0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Djamel Mostefa,7,Systran (France),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0,FR
Thomas Pellegrini,7,Université de Toulouse,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,https://orcid.org/0000-0001-8984-1399,FR
Basilio Calderone,7,Université de Toulouse,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,FR
Amel Fraisse,7,Université de Lille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0002-8693-8862,FR
Jonathan Chevelu,7,Université de Rennes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,FR
Beatrice Daille,7,Nantes Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,https://orcid.org/0000-0001-9095-7372,FR
Philippe Suignard,7,Sorbonne Université,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,FR
Alexandre Allauzen,7,Université Paris sciences et lettres,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,FR
Raoul de Charette,7,Université Paris sciences et lettres,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,FR
Nicolas Ballier,7,Centre d'Immunologie et des Maladies Infectieuses,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,https://orcid.org/0000-0002-0449-0428,FR
Rufin VanRullen,7,Université de Toulouse,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-3611-7716,FR
Nikos Paragios,6,Université Paris-Saclay,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Stepan Tulyakov,6,Huawei Technologies (France),1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Emilie Kaufmann,6,Université de Lille,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Olivier Sigaud,6,Sorbonne Université,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,https://orcid.org/0000-0002-8544-0229,FR
Cédric Févotte,6,Université de Toulouse,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,https://orcid.org/0000-0003-3801-5534,FR
Maha Elbayad,6,Université Grenoble Alpes,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Tu Vu,6,Continental (France),0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://orcid.org/0000-0001-6422-6509,FR
Loic Landrieu,6,Université Gustave Eiffel,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Amos Sironi,6,"Laboratoire de Recherche sur la Croissance Cellulaire, la Réparation et la Régénération Tissulaires",1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,FR
Himalaya Jain,6,Valeo (France),0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-8932-7661,FR
Rémi Gribonval,6,Université de Rennes,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,FR
Mickaël Chen,6,Université Paris Cité,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Amaury Habrard,6,Université Paris-Saclay,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-3038-9347,FR
Mercedes García-Martínez,6,Université Nantes Angers Le Mans,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Adrien Bougouin,6,Laboratoire Dynamique du Langage,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,FR
Aurélien Bellet,6,Université de Lille,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0003-3440-1251,FR
Raphael Troncy,6,Université Paris Cité,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://orcid.org/0000-0003-0457-1436,FR
Giorgio Magri,6,Université Paris Cité,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Subba Reddy Oota,6,Institut Polytechnique de Bordeaux,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0,FR
Odile Mella,6,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,FR
Guillaume Dubuisson Duplessis,6,Sorbonne Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0,FR
Mathieu Valette,6,Institut National des Langues et Civilisations Orientales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,FR
Ruslan Kalitvianski,6,Grenoble Computer Science Laboratory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,https://orcid.org/0000-0001-8139-4846,FR
Julien Plu,6,Université de Montpellier,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,FR
Alice Millour,6,Sorbonne Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0,FR
Adeline Nazarenko,6,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0,FR
Imed Laaridh,6,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0,FR
Abdessalam Bouchekif,6,Orange (France),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0,FR
Natalia Tomashenko,6,Laboratoire Informatique d'Avignon,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,https://orcid.org/0000-0002-7125-2382,FR
Alexis Michaud,6,Nantes Université,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0,FR
Myriam Bras,6,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,FR
Virginie Woisard,6,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0003-3895-2827,FR
Ilaine Wang,6,Modèles Dynamiques Corpus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,FR
Florent Lafarge,6,Université Côte d'Azur,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Mike Gartrell,6,Criteo (France),3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
