author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Francis R. Bach,19,Université Paris sciences et lettres,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-8644-1058,FR
Benoît Sagot,19,Université Paris Cité,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,FR
Zaid Harchaoui,18,Université Grenoble Alpes,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,https://orcid.org/0000-0003-1186-1343,FR
Karteek Alahari,18,Université Grenoble Alpes,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0,FR
Mathieu Aubry,18,Université Gustave Eiffel,4.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Guohong Fu,18,Sorbonne Université,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-6391-5983,FR
Patrice Bellot,18,Aix-Marseille University,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,5.0,https://orcid.org/0000-0001-8698-5055,FR
Caroline Brun,18,Théorie et Histoire des Arts et des Littératures de la Modernité,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,https://orcid.org/0000-0002-5563-6765,FR
Anne Vilnat,18,Institut polytechnique de Paris,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,6.0,0,FR
Brigitte Grau,18,Université Paris-Saclay,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,0,FR
