numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200710696A;INSTITUT DE CHIMIE DE LYON;ICL;2007;Structures Fédératives de Recherche;3;3;http://www.iclyon.fr/;43 Boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;PINEL,ANDRIOLETTI;Catherine,Bruno;Directrice adjointe,DIR;,,FR 3023,,FR 3023,,,,;Université Jean Monnet Saint-Etienne,Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Ecole Supérieure de Chimie Physique Electronique de Lyon,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Ecole Normale Supérieure de Lyon,Centre National d'Etude Spatiales,Arianegroup SAS;SAINT-ETIENNE,INSA LYON,LYON 1,CPE LYON,CNRS,INRAE,ENS LYON,CNES,ARIANEGROUP;UNIV,AUT_ETAB,UNIV,AUT_ETAB,EPST,EPST,AUT_ETAB,EPIC,PRIVE;Université,Autres établissements ESR,Université,Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Autres établissements ESR,Organismes de type EPIC,Société de droit privé française;0421095M,0690192J,0691774D,0693623N,0753639Y,,0694123G,0752743Z,;19421095100423,19690192000013,19691774400019,39189510900026,18008901303720,18007003901803,13000812100019,77566591200082,51903224700123;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;202123703C,201320570G,201119453B,200711921G,200711911W,200711890Y,200311854B,199911703E,199512045U,199411772B,197311954R;;;;;;4;Chimie;PE5;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710696A&PUBLIC=OK
200810700A;Institut de Chimie de Picardie FR 3085;;2008;Structures Fédératives de Recherche;3;3;;33 rue Saint Leu;80039;AMIENS CEDEX 1;POURCEAU,BECUWE,BECUWE;Gwladys,Matthieu,Matthieu;DIR-AJT,Directeur,Directeur;;Université Picardie Jules-Verne Amiens;AMIENS;UNIV;Université;0801344B;19801344300017;TUTE;établissement tutelle;;;;;;;4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810700A&PUBLIC=OK
201521769B;Simulation médicale guidée par les données;MIMESIS;2015;Unité propre;21;2;https://www.inria.fr/fr/mimesis;;67000;Strasbourg;COTIN;Stéphane;;,,;Centre national de la recherche scientifique,Institut national de la recherche en informatique et automatique,Université Strasbourg;CNRS,INRIA,U. STRASBOURG;EPST,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Université;0753639Y,0780491K,0673021V;18008901303720,18008904700013,13000545700010;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;198618246Y;;;;;5,9;Biologie, médecine et santé,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521769B&PUBLIC=OK
200812273K;CHIMIE ET INTERDISCIPLINARITE : SYNTHESE, ANALYSE, MODELISATION;CEISAM;2008;Unité mixte;22;2;http://www.sciences.univ-nantes.fr/CEISAM/ceisam.php;2 rue de la Houssinière;44322;NANTES CEDEX 3;BOULER;Jean-Michel;DIR;UMR 6230,UMR 6230;Centre national de la recherche scientifique,Nantes Université;CNRS,Nantes Université;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0442953W;18008901303720,13002974700016;TUTE,TUTE;établissement tutelle,établissement tutelle;200810705F;200810705F;200012107P,199612308A,199213365S;"fusion;fusion;fusion";"F;F;F";"2008;2008;2008";4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812273K&PUBLIC=OK
200410855L;GALILEE-OCA;GALILEEOCA;2000;Structures Fédératives de Recherche;3;3;http://www.oca.eu;Bd de l'Observatoire - CS 34229;06304;NICE CEDEX 4;MAZEVET;Stéphane;Directeur;UMS 2202,UAR 2202,UMS 2202;Observatoire de la Côte d'Azur Nice,Centre national de la recherche scientifique,Université Côte d'Azur;OBSV. COTE D'AZUR,CNRS,UniCA;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0060099A,0753639Y,0062205P;19061563300012,18008901303720,13002566100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;201220434N,201220431K,200816914E;;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410855L&PUBLIC=OK
200810868H;LUTIN;UMS2809;2008;Structures Fédératives de Recherche;3;3;http://www.lutin-userlab.fr;Cité des Sciences30 avenue Corentin Cariou;75019;PARIS;TIJUS;Charles;;UMS 2809,UMS 2809;Université de Technologie de Compiègne,Université Vincennes-Saint Denis Paris 8;UT COMPIEGNE,PARIS 8;UNIV,UNIV;Université,Université;0601223D,0931827F;19601223100169,19931827000014;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810868H&PUBLIC=OK
200711914Z;LABORATOIRE DE CHIMIE ET BIOLOGIE DES MÉTAUX;LCBM;2006;Unité mixte;22;2;;17 rue de Martyrs;38054;GRENOBLE CEDEX 9;ARTERO,RABILLOUD;Vincent,Thierry;,directeur-adjoint;UMR 5249,UMR 5249,UMR 5249;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes;CNRS,CEA,GRENOBLE ALPES;EPST,EPIC,UNIV;Organismes de type EPST,Organismes de type EPIC,Université;0753639Y,0912281K,0383546Y;18008901303720,77568501900587,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201923169F,201119551H;200311831B,198911776C,199511739L;"éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF";"2007;2007;2007";4,5;Chimie,Biologie, médecine et santé;"LS2;PE5;LS1";Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711914Z&PUBLIC=OK
200711931T;Laboratoire de Génie Electrique de Grenoble;G2Elab;2006;Unité mixte;22;2;http://www.g2elab.grenoble-inp.fr;21 rue des Martyrs;38031;GRENOBLE CEDEX 1;LEMBEYE,HADJ-SAID;Yves,Nouredine;DIR-ADJ,Directeur;UMR 5269,UMR 5269,UMR 5269;Institut polytechnique de Grenoble,Centre national de la recherche scientifique,Université Grenoble Alpes;GRENOBLE INP,CNRS,GRENOBLE ALPES;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0381912X,0753639Y,0383546Y;19381912500017,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;199511973R,199511961C;"fusion;fusion";"F;F";"2007;2007";2,8;Physique,Sciences pour l'ingénieur;"PE3;PE8";Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711931T&PUBLIC=OK
199512096Z;INSTITUT DE PHYSIQUE DES 2 INFINIS DE LYON;IP2I Lyon;1995;Unité mixte;22;2;http://www.ipnl.in2p3.fr;4 rue Enrico Fermi;69622;VILLEURBANNE CEDEX;MARTEAU,EALET;Jacques,Anne;Directeur adjoint,Directrice;UMR 5822,UMR 5822;Université Claude Bernard Lyon 1,Centre national de la recherche scientifique;LYON 1,CNRS;UNIV,EPST;Université,Organismes de type EPST;0691774D,0753639Y;19691774400019,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;201119599K,201119590A;;;;;2,3;Physique,Sciences de la terre et de l'univers, espace;"PE2;PE9;PE1;LS7";Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics,Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data,Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512096Z&PUBLIC=OK
199412070A;Histoire et Archéologie des Mondes Chrétiens et Musulmans Médiévaux;CIHAM;1995;Unité mixte;22;2;http://ciham.ish-lyon.cnrs.fr/;14 avenue Berthelot;69363;LYON CEDEX 07;CARRIER,AILLET,NICOUD,BURESI;Nicolas,Cyrille,Marylin,Pascal;Directeur adjoint,Directeur adjoint,Directrice,Directeur adjoint;UMR 5648,UMR 5648,UMR 5648,UMR 5648,UMR 5648,UMR 5648;Université Lumière Lyon 2,Université Jean Moulin Lyon 3,Ecole des Hautes Etudes en Sciences Sociales Paris,AVIGNON UNIVERSITE,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;LYON 2,LYON 3,EHESS PARIS,AU,CNRS,ENS LYON;UNIV,UNIV,AUT_ETAB,UNIV,EPST,AUT_ETAB;Université,Université,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR;0691775E,0692437Z,0753742K,0840685N,0753639Y,0694123G;19691775100014,19692437700282,19753742600011,19840685200204,18008901303720,13000812100019;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;201420876K;;;;;6;Sciences humaines et humanités;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412070A&PUBLIC=OK
199812078S;LABORATOIRE DE PHYSIQUE DE L'ENS DE LYON;;1999;Unité mixte;22;2;http://www.ens-lyon.fr/PHYSIQUE/;46 Allée d'Italie;69364;LYON CEDEX 07;GEMINARD;Jean-Christophe;Directeur;UMR 5672,UMR 5672;Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;CNRS,ENS LYON;EPST,AUT_ETAB;Organismes de type EPST,Autres établissements ESR;0753639Y,0694123G;18008901303720,13000812100019;TUTE,TUTE;établissement tutelle,établissement tutelle;;201119599K,201119590A;;;;;1,3,4,5,8;Mathématiques et leurs interactions,Sciences de la terre et de l'univers, espace,Chimie,Biologie, médecine et santé,Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812078S&PUBLIC=OK
201521807T;Cerema Direction Territoriale Centre-Est;Cerema CE;2014;Unité propre;21;2;http://www.centre-est.cerema.fr;Cité des Mobilités 25, avenue François Mitterrand - CS 92 803;69674;Bron Cedex;BOURGEOIS;Séverine;;;Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement;CEREMA;EPA;Etablissement public à caractère administratif;;13001831000016;TUTE;établissement tutelle;;;;;;;;;PE8;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521807T&PUBLIC=OK
199511965G;Sols, Solides, Structures, Risques;3SR;1995;Unité mixte;22;2;http://www.3sr-grenoble.fr/;Domaine Universitaire;38041;GRENOBLE CEDEX 9;COMBE,BAILLY;Gaël,Lucie;Directeur,directeur adjoint;UMR 5521,UMR 5521,UMR 5521;Institut polytechnique de Grenoble,Centre national de la recherche scientifique,Université Grenoble Alpes;GRENOBLE INP,CNRS,GRENOBLE ALPES;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0381912X,0753639Y,0383546Y;19381912500017,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;PE8;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511965G&PUBLIC=OK
199511994N;LABORATOIRE D'ECOLOGIE ALPINE;LECA;1995;Unité mixte;22;2;http://www-leca.ujf-grenoble.fr/;2233 Rue de la piscine;38041;GRENOBLE CEDEX 9;LOISON,FOULQUIER,REYNAUD,THUILLER,POMPANON;Anne,Arnaud,Stéphane,Wilfried,François;Directeur adjoint,Directeur adjoint,Directeur,DIR ADJ,Directeur adjoint;UMR 5553,UMR 5553,UMR 5553;Université Savoie Chambéry,Centre national de la recherche scientifique,Université Grenoble Alpes;CHAMBERY,CNRS,GRENOBLE ALPES;UNIV,EPST,UNIV;Université,Organismes de type EPST,Université;0730858L,0753639Y,0383546Y;19730858800015,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200310841A;;;;;10;Sciences agronomiques et écologiques;"LS8;LS9";Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511994N&PUBLIC=OK
199511997S;Ecologie microbienne;EM;1995;Unité mixte;22;2;http://ecologiemicrobiennelyon.fr;43 boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;WISNIEWSKI DYE,NAZARET,LE ROUX;Florence,Sylvie,Xavier;Directrice adjointe,Directrice,Directeur adjoint;UMR 5557,UMR 5557,UMR 5557,UMR 1418,;VetAgro Sup,Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Jean Monnet Saint-Etienne;VETAGRO SUP,LYON 1,CNRS,INRAE,SAINT-ETIENNE;AUT_ETAB,UNIV,EPST,EPST,UNIV;Autres établissements ESR,Université,Organismes de type EPST,Organismes de type EPST,Université;0690193K,0691774D,0753639Y,,0421095M;13000858400018,19691774400019,18008901303720,18007003901803,19421095100423;TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;201119591B;;;;;10;Sciences agronomiques et écologiques;LS8;Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511997S&PUBLIC=OK
199512000V;Laboratoire d'aérologie;LAERO;1995;Unité mixte;22;2;http://www.aero.obs-mip.fr/;14 avenue Edouard Belin;31400;TOULOUSE;COQUILLAT,THOURET,SERÇA;Sylvain,Valérie,Dominique;Directeur,Directrice adjointe,Directeur adjoint;UMR 5560,UMR 5560,UMR_S 994;Université Toulouse 3 - Paul Sabatier,Centre national de la recherche scientifique,Institut de recherche pour le developpement;TOULOUSE 3,CNRS,IRD;UNIV,EPST,EPST;Université,Organismes de type EPST,Organismes de type EPST;0311384L,0753639Y,0133973Y;19311384200010,18008901303720,18000602500159;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;200719584L;;;;;3;Sciences de la terre et de l'univers, espace;PE10;Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512000V&PUBLIC=OK
199911781P;Institut de Biochimie et Génétique Cellulaires;IBGC;1999;Unité mixte;22;2;http://www.ibgc.cnrs.fr;1 rue Camille St Saens;33077;BORDEAUX CEDEX;SAGOT;Isabelle;Directrice;UMR 5095,UMR 5095;Centre national de la recherche scientifique,Université de Bordeaux;CNRS,BORDEAUX;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0333298F;18008901303720,13001835100010;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911781P&PUBLIC=OK
199511782H;Laboratoire Génome et Développement des Plantes;LGDP;1999;Unité mixte;22;2;http://lgdp.univ-perp.fr/;58 avenue Paul Alduy;66860;PERPIGNAN;PANAUD;Olivier;DIR;UMR 5096,UMR 5096,;Université Perpignan via Domitia,Centre national de la recherche scientifique,Institut de recherche pour le developpement;PERPIGNAN,CNRS,IRD;UNIV,EPST,EPST;Université,Organismes de type EPST,Organismes de type EPST;0660437S,0753639Y,0133973Y;19660437500010,18008901303720,18000602500159;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;5;Biologie, médecine et santé;"LS9;LS2";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511782H&PUBLIC=OK
199911790Z;LABORATOIRE DE PSYCHOLOGIE ET NEUROCOGNITION;LPNC;1999;Unité mixte;22;2;http://lpnc.univ-grenoble-alpes.fr/;1251 rue des universités;38058;GRENOBLE CEDEX 9 - ST MARTIN D HERES;MERMILLOD,PASCALIS;Martial,Olivier;Directeur,Directeur adjoint;UMR 5105,UMR 5105,UMR 5105;Université Savoie Chambéry,Centre national de la recherche scientifique,Université Grenoble Alpes;CHAMBERY,CNRS,GRENOBLE ALPES;UNIV,EPST,UNIV;Université,Organismes de type EPST,Université;0730858L,0753639Y,0383546Y;19730858800015,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201019867F;;;;;6;Sciences humaines et humanités;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911790Z&PUBLIC=OK
200111810M;Laboratoire de mathématiques;LAMA;2001;Unité mixte;22;2;http://www.lama.univ-savoie.fr;;73376;LE BOURGET DU LAC CEDEX;COMTE,BUCUR;George,Dorin;DIR,directeur-adjoint;UMR 5127,UMR 5127;Université Savoie Chambéry,Centre national de la recherche scientifique;CHAMBERY,CNRS;UNIV,EPST;Université,Organismes de type EPST;0730858L,0753639Y;19730858800015,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;200710690U;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200111810M&PUBLIC=OK
200311829Z;LABORATOIRE DE PHYSIQUE THEORIQUE;LPT;2003;Unité mixte;22;2;http://www.lpt.ups-tlse.fr/;118 route de Narbonne;31062;TOULOUSE CEDEX 9;CAPPONI,GEORGEOT;Sylvain,Bertrand;DIRECTEUR ADJOINT,DIRECTEUR;UMR 5152,UMR 5152;Université Toulouse 3 - Paul Sabatier,Centre national de la recherche scientifique;TOULOUSE 3,CNRS;UNIV,EPST;Université,Organismes de type EPST;0311384L,0753639Y;19311384200010,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;202123707G;;;;;1,4;Mathématiques et leurs interactions,Chimie;"PE1;PE2;PE3";Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics,Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics,Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311829Z&PUBLIC=OK
198821774Z;Laboratoire d'Applications et de Recherches en Informatique pour l'Architecture;MAP-Aria;1988;Equipe interne;1;1;;ENSA Lyon;;Lyon;Lequay;Hervé;;;Ecole Nationale Supérieure d'Architecture de Lyon;EC. ARCHI. LYON;AUT_ETAB;Autres établissements ESR;0690184A;19690184700018;TUTE;établissement tutelle;;201220444Z;;;;;;;SH5;Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=198821774Z&PUBLIC=OK
200311854B;LABORATOIRE DE CHIMIE;LCH;2003;Unité mixte;22;2;http://www.ens-lyon.fr/CHIMIE/;46 Allée d'Italie;69364;LYON CEDEX 07;MICHEL,PAROLA;Carine,Stéphane;Directrice adjointe,Directeur;UMR 5182,UMR 5182,UMR 5182;Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;LYON 1,CNRS,ENS LYON;UNIV,EPST,AUT_ETAB;Université,Organismes de type EPST,Autres établissements ESR;0691774D,0753639Y,0694123G;19691774400019,18008901303720,13000812100019;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200710696A,201119599K;199817337H,199811976F;"éclatement - fusion;éclatement - fusion";"EF;EF";"2003;2003";2,4;Physique,Chimie;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311854B&PUBLIC=OK
200511874P;ENVIRONNEMENTS, DYNAMIQUES ET TERRITOIRES DE LA MONTAGNE;EDYTEM;2005;Unité mixte;22;2;https://edytem.cnrs.fr/;5 bd de la Mer Caspienne;73376;LE BOURGET DU LAC CEDEX;PEYRACHE-GADEAU,FANGET,PERRETTE;Véronique,Bernard,Yves;DIR ADJ,DIR ADJ,Directeur;UMR 5204,UMR 5204,;Université Savoie Chambéry,Centre national de la recherche scientifique,Ministère de la culture;CHAMBERY,CNRS,MIN.CULT;UNIV,EPST,AUT_OP_FR;Université,Organismes de type EPST,Autre opérateur de droit français;0730858L,0753639Y,;19730858800015,18008901303720,11004601800013;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;200310841A;;;;;;;SH3;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511874P&PUBLIC=OK
200711888W;Institut de Mathématiques de Toulouse;IMT;2007;Unité mixte;22;2;http://www.math.univ-toulouse.fr;118 route de Narbonne;31062;TOULOUSE CEDEX 9;MANIVEL,BARTHE,BOYER;Laurent,Franck,Franck;DIR-ADJ,DIRECTEUR,DIR-ADJ;UMR 5219,UMR 5219,UMR 5219,,UMR 5219,,UMR 5219;Institut National des Sciences Appliquées Toulouse,Université Toulouse - Jean Jaurès,Université Toulouse 3 - Paul Sabatier,Institut national universitaire Jean-François Champollion,Centre national de la recherche scientifique,Ecole d'économie et de sciences sociales quantitatives de Toulouse,Université Toulouse Capitole EPE;INSA TOULOUSE,TOULOUSE 2,TOULOUSE 3,INU CHAMPOLLION,CNRS,TSE,UT Capitole;AUT_ETAB,UNIV,UNIV,AUT_ETAB,EPST,AUT_ETAB,UNIV;Autres établissements ESR,Université,Université,Autres établissements ESR,Organismes de type EPST,Autres établissements ESR,Université;0310152X,0311383K,0311384L,0811293R,0753639Y,0311514C,0313124C;19310152400018,19311383400017,19311384200010,19811201300018,18008901303720,13003062000012,13003061200019;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;201119570D;199512067T,199512019R,199512016M;"fusion;fusion;fusion";"F;F;F";"2007;2007;2007";1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711888W&PUBLIC=OK
200711891Z;Laboratoire Jean Kuntzmann;LJK;2006;Unité mixte;22;2;http://ljk.imag.fr;Bätiment IMAG UGA CS 40700;38058;GRENOBLE CEDEX 9;LECLERQ-SAMSON,BLAYO,DUMAS,DUMAS;Adeline,Eric,Jean-Guillaume,Jean-Guillaume;Directrice adjointe,directeur adjoint,Directeur,Directeur;UMR 5224,UMR 5224,UMR 5224,UMR 5224;Institut polytechnique de Grenoble,Centre national de la recherche scientifique,Université Grenoble Alpes,Institut national de la recherche en informatique et automatique;GRENOBLE INP,CNRS,GRENOBLE ALPES,INRIA;AUT_ETAB,EPST,UNIV,EPST;Autres établissements ESR,Organismes de type EPST,Université,Organismes de type EPST;0381912X,0753639Y,0383546Y,0780491K;19381912500017,18008901303720,13002608100013,18008904700013;TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;202023598T,202023582A,201622034K,201221005J,201221003G,201120981M,201020763E,200820953V,200818261U,200818259S,200711891Z,200618276U,200418269V,200318260P,200218264Y,200218263X;200711891Z;200314970N,199511971N,199511967J;"éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF";"2007;2007;2007";1,8,9;Mathématiques et leurs interactions,Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;"PE1;PE6";Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics,Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711891Z&PUBLIC=OK
200111674P;Laboratoire de mathématiques de Versailles;LMV;2000;Unité mixte;22;2;http://lmv.math.cnrs.fr/;45 Av des Etats-Unis;78035;VERSAILLES CEDEX;ZVONKINE;Dimitri;DIRECTEUR;UMR 8100,UMR 8100,UMR 8100;Université Versailles Saint-Quentin-en-Yvelines,Centre national de la recherche scientifique,Université Paris-Saclay;VERSAILLES,CNRS,U PARIS-SACLAY;UNIV,EPST,UNIV;Université,Organismes de type EPST,Université;0781944P,0753639Y,0912408Y;19781944400013,18008901303720,13002602400054;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200111674P&PUBLIC=OK
