numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
197317920A;Comportement et Ecologie de la Faune Sauvage;CEFS;1973;Unité propre;21;2;https://www6.toulouse.inrae.fr/cefs/;24  chemin de Borde-Rouge - Auzeville CS 52627;31326;Auzeville;VERHEYDEN,MORELLET;Hélène,Nicolas;Directrice,Directeur adjoint;UR 0035;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;INRAE;EPST;Organismes de type EPST;;18007003901803;TUTE;établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=197317920A&PUBLIC=OK
199317928X;Biomécanique et Pathologie Locomotrice du Cheval;;1993;Unité mixte;22;2;https://www.vet-alfort.fr/enva-recherche/unites-de-recherche/physiopathologie-et-therapie-du-muscle-de-l-appareil-locomoteur-et-de-la-reproduction/biomecanique-et-pathologie-locomotrice-du-cheval-bplc;7  avenue du Général de Gaulle;94704;Maisons-Alfort;CREVIER-DENOIX;Nathalie;DIR;,USC 0957;Ecole Nationale Vétérinaire Maisons-Alfort,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;E.N.VETERIN.M.A,INRAE;AUT_ETAB,EPST;Autres établissements ESR,Organismes de type EPST;0940608A,;19940608300014,18007003901803;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199317928X&PUBLIC=OK
200918478A;Centre de Recherches Sociologiques et Politiques de Paris - CRESPPA;CRESPPA;2009;Unité mixte;22;2;http://www.cresppa.cnrs.fr;Rue Pouchet;75849;PARIS CEDEX 17;MOSER,HULAK,CADOT,BENSE FERREIRA;Cornelia,Florence,Christine,Célia;Directrice adjointe,Directrice adjointe,DIR,Directrice adjointe;UMR 7217,UMR 7217,UMR 7217;Université Paris Nanterre,Université Vincennes-Saint Denis Paris 8,Centre national de la recherche scientifique;PARIS 10,PARIS 8,CNRS;UNIV,UNIV,EPST;Université,Université,Organismes de type EPST;0921204J,0931827F,0753639Y;19921204400010,19931827000014,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;200112499L,199713852Z;"renouvellement;intégration";"R;I";"2009;2014";7;Sciences de la société;"SH2;SH1";Institutions, Governance and Legal Systems : Political science, international relations, law,Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200918478A&PUBLIC=OK
200417733M;Département microbiologie et chaîne alimentaire;MICA;2004;Unité propre;21;2;https://www.inrae.fr/departements/mica;Domaine de Vilvert;78352;JOUY-EN-JOSAS CEDEX;DEQUIN;Sylvie;Directrice;UAR 1194;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;INRAE;EPST;Organismes de type EPST;;18007003901803;TUTE;établissement tutelle;198417950K;199017875C,199917876P,196717878F,198817935B,200117936W,196217937S,198817946N,195117949C,200217951H,200117953P,199017967C;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200417733M&PUBLIC=OK
196117762F;Unité Expérimentale du Maïs;UE Mais;1961;Unité propre;21;2;;2297 route de l'Inra;40390;SAINT-MARTIN-DE-HINX;PALAFFRE;Carine;Directrice;UE 0394;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;INRAE;EPST;Organismes de type EPST;;18007003901803;TUTE;établissement tutelle;199817729J;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=196117762F&PUBLIC=OK
201019121V;Centre de Recherches Insulaires et Observatoire de l'Environnement;CRIOBE;2010;Unité mixte;22;2;https://www.criobe.pf/;58 avenue Paul Alduy;66860;PERPIGNAN;LE GUEN;Annaïg;;UAR 3278,USR 3278,UAR 3278,USR 3278;Université Perpignan via Domitia,Ecole Pratique des Hautes Etudes Paris,Centre national de la recherche scientifique,Université Paris sciences et lettres;PERPIGNAN,EPHE PARIS,CNRS,PSL;UNIV,AUT_ETAB,EPST,UNIV;Université,Autres établissements ESR,Organismes de type EPST,Université;0660437S,0753486G,0753639Y,0756036D;19660437500010,19753486000105,18008901303720,13002614900018;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;3,10;Sciences de la terre et de l'univers, espace,Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019121V&PUBLIC=OK
200818076T;Unité Dynamique des Décisions de Développement chez la Drosophile;;2008;Unité propre;21;2;https://research.pasteur.fr/en/team/drosophila-developmental-genetics/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;SCHWEISGUTH;François;;,;Centre national de la recherche scientifique,Institut Pasteur;CNRS,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0753639Y,0755366A;18008901303720,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;198718066Y,200621926L;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200818076T&PUBLIC=OK
200512556F;Institut de Chimie de Strasbourg (UMR 7177);IC;2005;Unité mixte;22;2;https://institut-chimie.unistra.fr/;4 rue Blaise Pascal;67008;STRASBOURG CEDEX;ROBERT;Vincent;DIR;UMR 7177,UMR 7177;Centre national de la recherche scientifique,Université Strasbourg;CNRS,U. STRASBOURG;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0673021V;18008901303720,13000545700010;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;4;Chimie;"PE4;PE5";Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200512556F&PUBLIC=OK
200918489M;LABORATOIRE DE PHYSIQUE ET MECANIQUE TEXTILES (LPMT) - UR 4365;LPMT;1980;Unité propre;21;2;http://lpmt.uha.fr/;ENSISA LPMT 11 Rue Alfred Werner;68093;MULHOUSE CEDEX;HEIM;Frédéric;DIR;UR 4365;Université Haute Alsace Mulhouse;MULHOUSE;UNIV;Université;0681166Y;19681166500013;TUTE;établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;PE8;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200918489M&PUBLIC=OK
201019178G;Institut d'Alembert;IDA;2002;Structures Fédératives de Recherche;3;3;http://www.ida.ens-cachan.fr;ENS PARIS-SACLAY, 61 Avenue du Président Wilson;94235;CACHAN CEDEX;LE PIOUFLE;Bruno;DIR;FR 3242,FR 3242,FR 3242;Ecole normale supérieure Paris-Saclay,Centre national de la recherche scientifique,Université Paris-Saclay;ENS Paris-Saclay,CNRS,U PARIS-SACLAY;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0912423P,0753639Y,0912408Y;19940607500036,18008901303720,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;200212702C;;;;;;2,4,5,8,9;Physique,Chimie,Biologie, médecine et santé,Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019178G&PUBLIC=OK
