institution_country_code,year,institution_id,institution_display_name,institution_ror,institution_type,nb,id_paysage_init,id_paysage__init,id_paysage_corr,id_paysage_RGP,id_paysage,id_paysage_actuel,uo_lib
FR,2023,https://openalex.org/I100532134,Claude Bernard University Lyon 1,029brtt94,education,1653,etBz7,,,iq0rG,etBz7,etBz7,Université Claude Bernard - Lyon 1
FR,2019,https://openalex.org/I100532134,Claude Bernard University Lyon 1,029brtt94,education,1595,etBz7,,,iq0rG,etBz7,etBz7,Université Claude Bernard - Lyon 1
FR,2020,https://openalex.org/I100532134,Claude Bernard University Lyon 1,029brtt94,education,1569,etBz7,,,iq0rG,etBz7,etBz7,Université Claude Bernard - Lyon 1
FR,2021,https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,00jjx8s55,government,1482,zYXK8,,,,zYXK8,zYXK8,Commissariat à l’énergie atomique et aux énergies alternatives
FR,2022,https://openalex.org/I204730241,Université Paris Cité,05f82e368,education,1479,5cZyU,,,5cZyU,5cZyU,5cZyU,Université Paris Cité
FR,2022,https://openalex.org/I4210088668,"National Research Institute for Agriculture, Food and Environment",003vg9w96,government,1467,t4SA4,,,,t4SA4,t4SA4,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement"
FR,2023,https://openalex.org/I204730241,Université Paris Cité,05f82e368,education,1451,5cZyU,,,5cZyU,5cZyU,5cZyU,Université Paris Cité
FR,2023,https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,00jjx8s55,government,1442,zYXK8,,,,zYXK8,zYXK8,Commissariat à l’énergie atomique et aux énergies alternatives
FR,2018,https://openalex.org/I100532134,Claude Bernard University Lyon 1,029brtt94,education,1440,etBz7,,,iq0rG,etBz7,etBz7,Université Claude Bernard - Lyon 1
FR,2022,https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,00jjx8s55,government,1439,zYXK8,,,,zYXK8,zYXK8,Commissariat à l’énergie atomique et aux énergies alternatives
FR,2018,https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,00jjx8s55,government,1418,zYXK8,,,,zYXK8,zYXK8,Commissariat à l’énergie atomique et aux énergies alternatives
FR,2021,https://openalex.org/I204730241,Université Paris Cité,05f82e368,education,1382,5cZyU,,,5cZyU,5cZyU,5cZyU,Université Paris Cité
FR,2020,https://openalex.org/I204730241,Université Paris Cité,05f82e368,education,1366,5cZyU,,,5cZyU,5cZyU,5cZyU,Université Paris Cité
FR,2020,https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,00jjx8s55,government,1337,zYXK8,,,,zYXK8,zYXK8,Commissariat à l’énergie atomique et aux énergies alternatives
FR,2019,https://openalex.org/I204730241,Université Paris Cité,05f82e368,education,1306,5cZyU,,,5cZyU,5cZyU,5cZyU,Université Paris Cité
FR,2021,https://openalex.org/I4210088668,"National Research Institute for Agriculture, Food and Environment",003vg9w96,government,1287,t4SA4,,,,t4SA4,t4SA4,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement"
FR,2018,https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,02kvxyf05,government,1235,E1Wdn,,,,E1Wdn,E1Wdn,Institut national de recherche en sciences et technologies du numérique
FR,2023,https://openalex.org/I4210088668,"National Research Institute for Agriculture, Food and Environment",003vg9w96,government,1234,t4SA4,,,,t4SA4,t4SA4,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement"
FR,2021,https://openalex.org/I19894307,University of Montpellier,051escj72,education,1224,evv7S,evv7S,7yd5d,M2Z5a,7yd5d,evv7S,Université de Montpellier
FR,2018,https://openalex.org/I204730241,Université Paris Cité,05f82e368,education,1214,5cZyU,,,5cZyU,5cZyU,5cZyU,Université Paris Cité
FR,2019,https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,00jjx8s55,government,1213,zYXK8,,,,zYXK8,zYXK8,Commissariat à l’énergie atomique et aux énergies alternatives
FR,2023,https://openalex.org/I2279609970,University of Lille,02kzqn938,education,1206,U8a0v,,,U8a0v,U8a0v,U8a0v,Université de Lille
FR,2021,https://openalex.org/I17866349,Université de Toulouse,004raaa70,education,1200,4a8B2,,,4a8B2,4a8B2,4a8B2,Université de Toulouse
FR,2019,https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,02kvxyf05,government,1184,E1Wdn,,,,E1Wdn,E1Wdn,Institut national de recherche en sciences et technologies du numérique
FR,2019,https://openalex.org/I17866349,Université de Toulouse,004raaa70,education,1148,4a8B2,,,4a8B2,4a8B2,4a8B2,Université de Toulouse
FR,2022,https://openalex.org/I2279609970,University of Lille,02kzqn938,education,1148,U8a0v,,,U8a0v,U8a0v,U8a0v,Université de Lille
FR,2023,https://openalex.org/I19894307,University of Montpellier,051escj72,education,1146,evv7S,,,M2Z5a,evv7S,evv7S,Université de Montpellier
FR,2021,https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,02kvxyf05,government,1129,E1Wdn,,,,E1Wdn,E1Wdn,Institut national de recherche en sciences et technologies du numérique
FR,2020,https://openalex.org/I17866349,Université de Toulouse,004raaa70,education,1123,4a8B2,,,4a8B2,4a8B2,4a8B2,Université de Toulouse
FR,2022,https://openalex.org/I19894307,University of Montpellier,051escj72,education,1112,evv7S,,,M2Z5a,evv7S,evv7S,Université de Montpellier
FR,2022,https://openalex.org/I17866349,Université de Toulouse,004raaa70,education,1107,4a8B2,,,4a8B2,4a8B2,4a8B2,Université de Toulouse
FR,2023,https://openalex.org/I17866349,Université de Toulouse,004raaa70,education,1096,4a8B2,,,4a8B2,4a8B2,4a8B2,Université de Toulouse
FR,2022,https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,02kvxyf05,government,1089,E1Wdn,,,,E1Wdn,E1Wdn,Institut national de recherche en sciences et technologies du numérique
FR,2022,https://openalex.org/I2746051580,Université Paris Sciences et Lettres,013cjyk83,education,1080,PpsCQ,,,PpsCQ,PpsCQ,PpsCQ,Université Paris sciences et lettres
FR,2021,https://openalex.org/I2279609970,University of Lille,02kzqn938,education,1076,U8a0v,,,U8a0v,U8a0v,U8a0v,Université de Lille
FR,2020,https://openalex.org/I19894307,University of Montpellier,051escj72,education,1051,evv7S,evv7S,7yd5d,M2Z5a,7yd5d,evv7S,Université de Montpellier
FR,2022,https://openalex.org/I21491767,Aix-Marseille University,035xkbk20,education,1050,xJdyB,,,TW2ed,xJdyB,xJdyB,Aix-Marseille Université
FR,2021,https://openalex.org/I15057530,University of Bordeaux,057qpr032,education,1049,90I54,,,XeJDw,90I54,90I54,Université de Bordeaux
FR,2019,https://openalex.org/I90183372,Université de Lorraine,04vfs2w97,education,1049,t6Cq5,,,LorStr,t6Cq5,t6Cq5,Université de Lorraine
FR,2021,https://openalex.org/I90183372,Université de Lorraine,04vfs2w97,education,1038,t6Cq5,,,LorStr,t6Cq5,t6Cq5,Université de Lorraine
FR,2021,https://openalex.org/I2746051580,Université Paris Sciences et Lettres,013cjyk83,education,1027,PpsCQ,,,PpsCQ,PpsCQ,PpsCQ,Université Paris sciences et lettres
FR,2019,https://openalex.org/I19894307,University of Montpellier,051escj72,education,1027,evv7S,evv7S,7yd5d,M2Z5a,7yd5d,evv7S,Université de Montpellier
